text,label,standard
gazanda çorbam varıka teknemde ekmem varıka bendeki amanetini dinile imanıla al diyin allaha yavlariysun yaşlannınmıdı.,Ağız,"Kazanda çorbam, teknemde ekmeğim varken, “Bendeki emanetini din ile imanla al” derim; Allah’a yalvarıyorsun yaşlanınca."
emme başka zamanda aklığa gelmez ölüüm.,Ağız,Ama başka zamanda akla gelmez ölüm.
şimdi hiç aklına gelmez.,Ağız,Şimdi hiç aklına gelmez.
şimdi guş gibi uçub gidiyin.,Ağız,Şimdi kuş gibi uçup gidiyorsun.
ben gapıdan biri geçecek de elimden tutucak da ha uraya doğru gidicem diy yol bakıyim.,Ağız,“Kapıdan biri geçecek de elimden tutacak da oraya doğru gideceğim” diye yol bakıyorum.
cin gibi galıyim tek.,Ağız,Cin gibi kalıyorum tek başıma.
"bazen bi gonşu gelü de yanıma bağa bi sever su alursa, udunu gapıya bacıya yığdıruyum hep millete.",Ağız,"Bazen bir komşu gelir de yanıma, bana bir su verirse; odununu kapıya, bacaya yığdırırım hep millete."
gapıya bacıya yığdruyum undan sonra e giden gidiyi.,Ağız,"Kapıya bacaya yığdırırım, ondan sonra giden gider."
bi dene bi dene al sopuya at.,Ağız,"Bir tane bir tane al, sopaya at."
bazan düşüyüm bazan galkıyim.,Ağız,"Bazen düşerim, bazen kalkarım."
geçen düştüm habu dizimnen gapiya çıkarka düştüm ha urda.,Ağız,"Geçen düştüm, şu dizimle kapıya çıkarken burada düştüm."
habu dizim simsiyah garardı.,Ağız,Şu dizim simsiyah morardı.
e öyle çalışamıyim edemiyim.,Ağız,"Öyle çalışamıyorum, yapamıyorum."
cin gibi adamın yanına kim gelür.,Ağız,Cin gibi adamın yanına kim gelir?
anahtarımı gapiya brakıyim eğil ben ölürsem birisi gelür de gapıdan anahtarumu alur da gapımı açar diye.,Ağız,"Anahtarımı kapıya bırakayım ki, eğer ben ölürsem biri gelir de kapıdan anahtarımı alır, kapımı açar diye."
yahut habu gonşuya veriyim diyimgi anahtarımı diyım sen diyım dut bennen habar alusun diyım işte bazı benden habar alıyi.,Ağız,"Yahut şu komşuya vereyim diyeyim anahtarımı, “Sen tut, benden haber alasın” diyeyim, işte bazen benden haber alıyor."
vaktım ulseydi yarım oludu vaktım ulmadığına sibep halim perişan oldu.,Ağız,"Vaktim olsaydı yarım olurdu, vaktim olmadığı için halim perişan oldu."
aldım bir zalimi başıma bela oldu.,Ağız,"Aldım bir zalimi, başıma bela oldu."
annadın bitti.,Ağız,"Anladın, bitti."
gel de halimi bi de bana sor ne hallerle geldim geşdim de mi.,Ağız,"Gel de halimi bir de bana sor; ne hallerle geldim, geçtim, değil mi?"
ne olur yarden.,Ağız,Ne olur yardan?
perişan oldukdan sonra yarından nolur malından nolur.,Ağız,"Perişan olduktan sonra yarından ne olur, malından ne olur?"
bitti benim işim bitti.,Ağız,"Bitti, benim işim bitti."
"kesgeh yaparduh guru fasulya yahnısı yaparduh, işte onnarı yaparduh",Ağız,"Keşkek yapardı, kuru fasulye yahnisini yapardı; işte bunları yapardı."
"datluda dirsen sini yaparduh, sini derdiler eskiden",Ağız,"Tatlı dersen sini yapardı, eskiden adına 'sini' derlerdi."
"onu şimdi şey yimirtaynan, yagnan, yörürdüh bi bardah süt, bi bardah yogurt gör, onlarıyla artuh yumırtası",Ağız,"Onu şimdi yumurtayla, yağla yoğururlardı; bir bardak süt, bir bardak yoğurt katıp yumurtasını arttırırlardı."
siniye göre yumırtasında ona göre girarduh,Ağız,Sininin büyüklüğüne göre yumurta koyarlardı.
kesgehde şimdi şey ederük ataruk suya ne gader bişürücések,Ağız,"Keşkeği şimdi şöyle yaparız: suya atarız, ne kadar pişireceksek."
fazla bişirürsek düyünlerde fazla olurdu haniya he,Ağız,"Fazla pişirirsek düğünlerde fazla olurdu hani, evet."
böyük bellekli şu leggenden bi atarduh düyünlerde ey şindikke şey az bişürende yanı az olur o küçük tencerede ey kesgege,Ağız,Büyük kazanlardan birini kullanırlardı; şimdi az pişirince küçük tencerede az olur o keşkeğin.
eskiden maya gazanları derdiler böyüh maya gazannarı onlarda hep bişürürdük,Ağız,Eskiden büyük kazanlara ‘maya kazanı’ derlerdi; onlarda pişirirdik.
valla ben şeyini bilmiyrümde bene seşşen dört yaşındasın deyler,Ağız,Vallahi tamını bilmiyorum da bana seksen dört yaşındasın derler.
"e ne bilim eski şeyler unutduh getdi eskiler, istedirler verirdüler, ondan sonra düyün olaca zaman gına yaharlar, ondan sonra düyüni yaparlar, e gider isterdüler",Ağız,"Ne bileyim, eski şeyler unutuldu gitti; önceden isterler, verirlerdi; düğün olacağı zaman kına yakarlar, sonra düğünü yaparlar; gidip isterlerdi."
"işte isterdüler ki en sonunda söyleirdiler, işte üç sefer falanca işte gızı filana veriyrüm gabul etdin mi deyin böyle üç sefer söyleirdiler",Ağız,"İsteme olurdu; en sonunda üç kez 'Falanca kızı filana veriyorum, kabul ettin mi?' diye söylerlerdi."
gına gecesi işte günüz olsun gece olsun şeydür milleti çağırıruk toplaruk gonşuları arabalarımızı başka yerden olsun onları hep gelürler,Ağız,"Kına gecesinde gündüz de gece de olur; milleti çağırır toplarız, komşularımız ve başka yerden gelenler arabalarıyla gelirler."
"işte tahusunu taharlar millet taharsa herkeş tahusunu tahar, gınasını yahar, horonunu çalgısını ederdiler ne bilim işte öle",Ağız,"Herkes imkânına göre hazırlığını yapar; kınasını yakar, horonunu, çalgısını ederler; işte öyle."
"eskiden düyün çalarlar horan, türkü, davul zurna hee üç gün üç dört gün düyün yapardılar",Ağız,"Eskiden düğünlerde horon, türkü, davul zurna çalınır; üç gün, dört gün düğün yaparlardı."
helbe yemehli yemehsiz olmaz eskiden hep eyleydi,Ağız,"Helva yemeli, yemesiz olmazdı; eskiden hep öyleydi."
"şindik gibi şindik kesiyler bi tavuh, üstü bi de çorba yanı sıra aha işte senin yemeğin",Ağız,"Şimdiki gibi değil; şimdi kesiyorlar bir tavuk, yanına da bir çorba: ‘İşte yemeğin’."
"işte deyim ya onnarı söyledim, onnarı hep söyledim da kesgegi, guru fasulyası, köfte, et köftesi yaparduh, su varya et köftesi, onnarı yaparduh işte",Ağız,"Diyorum ya, keşkek, kuru fasulye, köfte; et köftesi, sulu et köftesi yapardık; işte bunları söylerdim hep."
"böle gızartma köftesi başka sulu köftesi başqa etinen, onnarı yaparduh işte",Ağız,"Böyle kızartma köfte ayrı, sulu köfte ayrı; etten bunları yapardık."
"sulu küfte gıyma goruh, parça bulgur goruh, yımurta giraruk, fazla olursa içi az, olursa bi dene; emme çoğ oldu mu deyy ederduh",Ağız,"Sulu köfteye kıyma koyar, biraz bulgur koyar, yumurta kırarız; içi fazla olursa azaltırız; çok olursa ‘değ’ der, ayarlarız."
"aha bele leggelerden ederduh tehne, legen yoğudu, eskiden tekne idi, onda bir yörürdüh, teğe beş altı gişi oturur, onu öyle yapardılar",Ağız,"Leğenlerde yoğururduk; eskiden tekneydi, onda bir yoğururlardı; üç beş altı kişi oturup öyle yaparlardı."
"et yemeğe şey atardılar, kemühlerü etli kemühlerü doldurduruk gazanlara onu göyüşürdük, ondan sonra oturur teyveni tikiler, ondan sonra şeyini yaparlar yahnısın, yahnı dirdik, eskiden yahnı derdiler, onnar eyle deyler",Ağız,"Et yemeğine kabakların içini etli doldurup kazanlara koyar, kaynatırdık; sonra tepsiyi dizerler, ardından yahnisini yaparlar; eskiden ‘yahnı’ derlerdi, onlar öyle der."
"benim iki oğlan altı gız var, iki gızların ikisi o dünyada, altısı bu dünyada",Ağız,"Benim iki oğlum ve altı kızım var; kızların ikisi öte dünyada, altısı bu dünyada."
sekiz gız idi olmadı. olan dört gız peşine olanlarlar oldu,Ağız,"Sekiz kızdı, olmadı. Olan dört kızın peşine sonradan olanlar da oldu."
"haslım benim, şeyim mi yani memleketim, benim haydürükt dirler, oranın giziyim törümde gelinim",Ağız,"Memleketim Haçuruk’tur, oranın geliniyim."
bebegim nennisi eskiden eyleydi şimdiki demiyler neler diyler neler söylüyler ne bilim,Ağız,"Bebeğin ninnisi eskiden öyleydi, şimdi ise neler diyorlar bilmem."
"bugday, arpa, fıy ekerdüh, eskiden küşne derdik, küşne ekerdük, onnaru ekerdük",Ağız,"Buğday, arpa, fiğ ekerdik; eskiden ‘küşne’ derdik, küşne ekerdik."
küşnede hayle belle ki hâ bu gırmızı mercimek varya hâ onu ondan yapıyılar,Ağız,"Küşnede, kırmızı mercimeğe benzeyen şey olurdu, onu ondan yaparlardı."
"ellerimizden yolarduh, sürerdiler. fazla oldu mu düğen vardı, eskigden düğenden malları göşup sürürdüh",Ağız,"Ellerimizle yolardık, sürerdik; fazla olunca düğen vardı, oradan malları götürürdük."
fiyde fiy gara oluy küşne dediğim gırmızı oluy,Ağız,"Fiğde siyah olanı vardı, küşne dediğimiz kırmızı olurdu."
"şarmıtlı oluy, işte diyim ya mercimeh gırmızı mercimeh deyler, hâ eyle onun renginde oluy",Ağız,"Şarmıtlı olurdu, kırmızı mercimek renginde olurdu."
"valla onu ben bilmem, onu ben bilemem, onu ben bilemem",Ağız,"Vallahi onu ben bilmem, onu ben bilemem."
"esgi adamlar söylerdiler, neler çehmişler başlarından, anladıydılar",Ağız,Eski adamlar başlarından geçenleri anlatırlardı.
"çehmişler neler neler derdiler ki, rehmetlik adamlar, deyidikleri askerde yiyecek bir şey bulamazmışlar",Ağız,"Rahmetlik adamlar derdi ki, askerlikte yiyecek bir şey bulamazlarmış."
"hep atınan savaş yaparmışlar, onun fışkısından çıkar hâ o arpalara",Ağız,"Hep atlarla savaş yaparlarmış, onların gübresinden hâlâ o arpalara çıkar."
