text,label,standard
Get into deep water,deyim, Ayvayı yemek
Get one’s lines crossed,deyim, kafası karışmak
Get a second wind,deyim, Soluklanmak
Give someone the cold shoulder,deyim, Birini önemsememek
Go with the flow,deyim, Olayları akışına bırakmak
Go cold turkey,deyim, Bir alışkanlığı bırakmak
Get over something,deyim, Bir şeyi atlatmak
He who laughs last laughs best,deyim, Son gülen iyi güler
He who starts up in anger sits down with a loss,deyim, Öfkeyle kalkan zararla oturur
Have on the ball,deyim, Açıkgöz olmak
Hit the sack,deyim, Kafayı vurup yatmak
Hang in there,deyim, Dişini sıkmak
Haste makes waste,deyim, Acele işe şeytan karışır
Have a memory like an elephant,deyim, Fil hafızasına sahip olmak
Have sticky fingers,deyim, Eli uzun olmak
Hit the books,deyim, İnekleme
Hit the roof,deyim, Tepesi atma
Hit the sack,deyim, Kafayı vurup yatmak
Hot under the collar,deyim, Küplere binmek
Have a sweet tooth,deyim, Tatlı düşkünü olmak
If the caps fits wear it,deyim, Yarası olan gocunur
It’s raining like cats and dogs,deyim, Bardaktan boşalırcasına yağmur yağmak
If one is far away one also gets far away from the heart,deyim, Gözden ırak olan gönülden de ırak olur
In unity there is strength,deyim, Birlikten kuvvet doğar
In the red,deyim, Borca girmek
Keep your chin up,deyim, Metin olmak
Let the cat out of the bag,deyim, Ağzındaki baklayı çıkarmak
Living hand to mouth,deyim, Ucu ucuna geçinmek
Leave no stone unturned,deyim, Aranmadık yer bırakmamak
"Like two pies in a pod",deyim, "Ayrılmaz, sürekli yan yana olma"
Look like a million,deyim, Harika görünmek
Lose your touch,deyim, Eskisi kadar iyi olamamak
Lost at sea,deyim, Kafası karışmak
Let the dust settle,deyim, Ortalığın sakinleşmesini beklemek
Miss the boat,deyim, Geçti Bor’un pazarı
Many a little makes a mickle,deyim, Damlaya damlaya göl olur
Midas touch,deyim, Tuttuğu altın olmak
Make ends meet,deyim, Kıt kanaat geçinmek
Make a mountain out of a molehill,deyim, Pireyi deve yapmak
Make waves,deyim, Ortalığı karıştırmak
Nothing ventured nothing gained,deyim, Emek olmadan yemek olmaz
Nip something in the bud,deyim, Yılanın başını küçükken ezmek
Neck and neck,deyim, Baş başa gitme
Not one’s cup of tea,deyim, Kalemi olmamak
Once burnt twice shy,deyim, Sütten ağzı yanan yoğurdu üfleyerek yer
Old hat,deyim, Modası geçmiş
On cloud nine,deyim, Mutluluğun doruklarında
"On the ball",deyim, "Hazırlıklı olmak, işini bilmek"
On thin ice,deyim, Kötü bir olayın olmak üzere olması
Once in a blue moon,deyim, Ayda yılda bir
Pull someone’s leg,deyim, Birini kandırmak
Put one’s foot in it,deyim, Birini istemeden utandırmak
Pitch in,deyim, Katkıda bulunma
Pay an arm and a leg for something,deyim, Bir servet ödemek
Pour oil on troubled waters,deyim, Ortalığı yatıştırmak
Rise the devil,deyim, Ortalığı karıştırmak
Ring a bell,deyim, Bir şeyler çağrıştırmak
Receive a kickback,deyim, Rüşvet almak
Rule of thumb,deyim, Genel kabul görmüş bir kural
Rain or sunshine,deyim, Ne olursa olsun
Stab someone in the back,deyim, Birini sırtından bıçaklamak
Save up something for a rainy day,deyim, Ak akçe kara gün içindir
Strike while the iron is hot,deyim, Demir tavında dövülür
Sell ice to Eskimos,deyim, Tereciye tere satmak
Shell out money,deyim, Bir şey için ödeme yapmak
Sit tight,deyim, Sabırlı olmak
Spice things up,deyim, Renk katmak
Sail close to the wind,deyim, Riskli işler yapmak
Salt of the earth,deyim, Saygıdeğer
To give a run for one’s Money,deyim, Kök söktürmek
To be closefisted,deyim, Eli sıkı olmak
"To butter someone up",deyim, "Pohpohlamak,Yağ çekmek"
To hold out an olive branch,deyim, Zeytin dalı uzatmak
The pen is mightier than the sword,deyim, Kalem kılıçtan keskindir
Two heads are better than one,deyim, Bir elin nesi var iki elin sesi var
Twist someone’s arm,deyim, Ağzından girip burnundan çıkmak
To go from rags to riches,deyim, Sıfırdan zengin olmak
To pony up,deyim, Borcunu ödemek
To be loaded,deyim, Çok paraya sahip olmak
"Up in the air",deyim, "Askıda kalmak, havada kalmak"
Under the weather,deyim, Kendini kötü hissetmek
Under the sun,deyim, Yeryüzünde
Walking on air,deyim, Sevinçten havalara uçmak
Where there’s smoke there’s fire,deyim, Ateş olmayan yerden duman çıkmaz
What goes around comes around,deyim, Ne ekersen onu biçersin
Weather a storm,deyim, Badire atlatmak
When it rains it pours,deyim, Aksilikler üst üste gelir
Work like a charm,deyim, Tıkır tıkır çalışmak
Work like a horse,deyim, At gibi çalışmak
You can’t teach an old dogs new tricks,deyim, Ağaç yaştan eğilir
