text,label,standard
Hit the sack,deyim, Kafayı vurup yatmak
Hang in there,deyim, Dişini sıkmak
Haste makes waste,deyim, Acele işe şeytan karışır
Have a memory like an elephant,deyim, Fil hafızasına sahip olmak
Have sticky fingers,deyim, Eli uzun olmak
Hit the books,deyim, İnekleme
Hit the roof,deyim, Tepesi atma
Hit the sack,deyim, Kafayı vurup yatmak
Hot under the collar,deyim, Küplere binmek
Have a sweet tooth,deyim, Tatlı düşkünü olmak
If the caps fits wear it,deyim, Yarası olan gocunur
It’s raining like cats and dogs,deyim, Bardaktan boşalırcasına yağmur yağmak
If one is far away one also gets far away from the heart,deyim, Gözden ırak olan gönülden de ırak olur
In unity there is strength,deyim, Birlikten kuvvet doğar
In the red,deyim, Borca girmek
Keep your chin up,deyim, Metin olmak
Let the cat out of the bag,deyim, Ağzındaki baklayı çıkarmak
Living hand to mouth,deyim, Ucu ucuna geçinmek
Leave no stone unturned,deyim, Aranmadık yer bırakmamak
"Like two pies in a pod","deyim", "Ayrılmaz sürekli yan yana olma"
Look like a million,deyim, Harika görünmek
Lose your touch,deyim, Eskisi kadar iyi olamamak
Lost at sea,deyim, Kafası karışmak
Let the dust settle,deyim, Ortalığın sakinleşmesini beklemek
Miss the boat,deyim, Geçti Bor’un pazarı
Many a little makes a mickle,deyim, Damlaya damlaya göl olur
Midas touch,deyim, Tuttuğu altın olmak
Make ends meet,deyim, Kıt kanaat geçinmek
Make a mountain out of a molehill,deyim, Pireyi deve yapmak
Make waves,deyim, Ortalığı karıştırmak
Nothing ventured nothing gained,deyim, Emek olmadan yemek olmaz
Nip something in the bud,deyim, Yılanın başını küçükken ezmek
Neck and neck,deyim, Baş başa gitme
Not one’s cup of tea,deyim, Kalemi olmamak
Once burnt twice shy,deyim, Sütten ağzı yanan yoğurdu üfleyerek yer
Old hat,deyim, Modası geçmiş
On cloud nine,deyim, Mutluluğun doruklarında
"On the ball","deyim","Hazırlıklı olmak"
On thin ice,deyim, Kötü bir olayın olmak üzere olması
Once in a blue moon,deyim, Ayda yılda bir
Pull someone’s leg,deyim, Birini kandırmak
Put one’s foot in it,deyim, Birini istemeden utandırmak
Pitch in,deyim, Katkıda bulunma
Pay an arm and a leg for something,deyim, Bir servet ödemek
Pour oil on troubled waters,deyim, Ortalığı yatıştırmak
Rise the devil,deyim, Ortalığı karıştırmak
Ring a bell,deyim, Bir şeyler çağrıştırmak
Receive a kickback,deyim, Rüşvet almak
Rule of thumb,deyim, Genel kabul görmüş bir kural
Rain or sunshine,deyim, Ne olursa olsun
Stab someone in the back,deyim, Birini sırtından bıçaklamak
Save up something for a rainy day,deyim, Ak akçe kara gün içindir
Strike while the iron is hot,deyim, Demir tavında dövülür
Sell ice to Eskimos,deyim, Tereciye tere satmak
Shell out money,deyim, Bir şey için ödeme yapmak
Sit tight,deyim, Sabırlı olmak
Spice things up,deyim, Renk katmak
Sail close to the wind,deyim, Riskli işler yapmak
Salt of the earth,deyim, Saygıdeğer
To give a run for one’s Money,deyim, Kök söktürmek
To be closefisted,deyim, Eli sıkı olmak
To butter someone up,deyim, Pohpohlamak
To hold out an olive branch,deyim, Zeytin dalı uzatmak
The pen is mightier than the sword,deyim, Kalem kılıçtan keskindir
Two heads are better than one,deyim, Bir elin nesi var iki elin sesi var
Twist someone’s arm,deyim, Ağzından girip burnundan çıkmak
To go from rags to riches,deyim, Sıfırdan zengin olmak
To pony up,deyim, Borcunu ödemek
To be loaded,deyim, Çok paraya sahip olmak
Up in the air,deyim,havada kalmak
Under the weather,deyim, Kendini kötü hissetmek
Under the sun,deyim, Yeryüzünde
Walking on air,deyim, Sevinçten havalara uçmak
Where there’s smoke there’s fire,deyim, Ateş olmayan yerden duman çıkmaz
What goes around comes around,deyim, Ne ekersen onu biçersin
Weather a storm,deyim, Badire atlatmak
When it rains it pours,deyim, Aksilikler üst üste gelir
Work like a charm,deyim, Tıkır tıkır çalışmak
Work like a horse,deyim, At gibi çalışmak
You can’t teach an old dogs new tricks,deyim, Ağaç yaştan eğilir
"The apple doesn’t fall far from the tree.","deyim","Armut dibine düşer."
"One man’s trash is another man’s treasure.","deyim","Birinin çöpü, bir diğerinin hazinesidir."
"The pen is mightier than the sword.","deyim","Kalem kılıçtan keskindir."
"Rome wasn’t built in a day.","deyim","Roma, bir günde inşa edilmedi."
"When there’s smoke, there’s fire.","deyim","Ateş olmayan yerden duman çıkmaz."
"A journey of a thousand miles begins with a single step.","deyim","Bin millik yolculuk, bir adımla başlar."
"When in Rome, do as the Romans do.","deyim","Roma’dayken Romalılar gibi yaşa."
"All that glitters is not gold.","deyim","Parlayan her şey altın değildir."
"A happy heart is better than a full purse.","deyim","Mutlu bir kalp, dolu bir cüzdandan iyidir."
"All is fair in love and war.","deyim","Aşkta ve savaşta her şey mübahtır."
"A ship in a harbor is safe, but that’s not what a ship is for.","deyim","Limandaki gemi güvendedir, ama gemi bunun için değildir."
"Barking dogs seldom bite.","deyim","Havlayan köpek ısırmaz."
"Curiosity killed the cat.","deyim","Kediyi merak öldürür."
"Early bird catches the worm.","deyim","Erken kalkan yol alır."
"Slow and steady wins the race.","deyim","Yavaş ve istikrarlı olan yarışı kazanır."
"To call it a day","deyim","Çalışmayı bitirmek"
"To get out of hand","deyim","Kontrolden çıkmak"
"The best of both worlds","deyim","Bir işten çıkabilecek en iyi sonuç"
"To spill the beans","deyim","Bir sırrı ortaya çıkarmak"
"Once in a blue moon","deyim","Çok nadiren"
"To see eye to eye","deyim","Tamamen aynı fikirde olmak"
"To hit the sack","deyim","Yatağa gitmek"
"To stab someone in the back","deyim","Sırtından bıçaklamak"
"To face the music","deyim","Sonuçları kabullenmek"
"To ring a bell","deyim","Bir şeyi çağrıştırmak"
"To blow off steam","deyim","Stres atmak"
"To cut to the chase","deyim","Sadede gelmek"
"It’s raining cats and dogs.","deyim","Bardaktan boşanırcasına yağmur yağması"
"Familiarity breeds contempt","deyim","Fazla samimiyet tez ayrılık getirir"
"Familiarity breeds contempt","deyim","Fazla samimiyet tez ayrılık getirir"
"Lie down with dogs, wake up with fleas","deyim","Körle yatan şaşı kalkar"
"Never put off until tomorrow what you can do today","deyim","Bugünün işini yarına bırakma"
"Out of the frying pan and into the fire","deyim","Yağmurdan kaçarken doluya tutulmak"
"Water under the bridge","deyim","Geçmişte kaldı"
"Wear your heart on your sleeve","deyim","Her şeyini ortaya dökmek"
"Throw caution to the wind","deyim","Tedbiri elden bırakmak"
"Time is money","deyim","Vakit nakittir"
"You reap what you sow","deyim","Ne ekersen onu biçersin"
"The grass is always greener on the other side","deyim","Komşunun tavuğu komşuya kaz görünür"
"Great minds think alike","deyim","Akıl akıldan üstündür"
"Let bygones be bygones","deyim","Geçmişe mazi derler"
"A friend in need is a friend indeed","deyim","Gerçek dost kara günde belli olur"
"Don't make a mountain out of a molehill","deyim","Pireyi deve yapma"
"Go for broke","deyim","Her şeyi göze almak"
"Haste is from the devil","deyim","Acele işe şeytan karışır"
"One man's trash is another man's treasure","deyim","Birinin çöpü, diğerinin hazinesidir"
"To each his own","deyim","Zevkler ve renkler tartışılmaz"
"Truth will out","deyim","Gerçekler er ya da geç ortaya çıkar"
"Bite the dust","deyim","Tozu yutmak"
"Go down in flames","deyim","Yanıp kül olmak"
"Jump the gun","deyim","Aceleci davranmak"
"Knock on wood","deyim","Şeytan kulağına kurşun"
"Not my circus, not my monkeys","deyim","Bana dokunmayan yılan bin yaşasın"
The cat's out of the bag,deyim,sırrın ortaya çıkması
